_id_x,track_id,start_time,end_time,_id_y,conf,cord_x,cord_y,hits,age,time_since_update,state,time,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,cov_0,cov_1,cov_2,cov_3,cov_4,cov_5,cov_6,cov_7
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b47'},0.6399006247520447,1240.0,159.0,19.0,19.0,0.0,2.0,1715902838.301137,1821.9327011843254,217.21331093600992,6.441470372054838,204.66157794512526,0.5257959521362184,1.7773716288597639,-2.62397654561631e-06,1.341864693690584,0.0,221.42261444062933,0.0,0.0,0.0,23.190258559968292,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b63'},0.6538800597190857,1236.0,162.0,24.0,24.0,0.0,2.0,1715902841.999872,1825.054277972451,222.08029080872112,6.284631393757877,205.88715689675215,0.602030189562061,1.394843089986829,-4.7100179337418284e-06,0.8248239123616219,0.0,24.003364859750988,0.0,0.0,0.0,46.85836582029936,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b6c'},0.6747744083404541,1236.0,163.0,26.0,26.0,0.0,2.0,1715902843.554498,1826.5032627818352,223.84888876173812,6.238279252907702,207.0055860388925,0.6259001081775696,1.287674000449729,-5.471773067002476e-06,0.7727848147738673,0.0,0.0,1.3487757081920608e-08,0.0,0.0,0.0,2.2998788226226434e-09,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b95'},0.7313615083694458,1237.0,164.0,27.0,27.0,0.0,2.0,1715902844.625164,1826.71496207976,225.3758267123785,6.211737622432012,208.58261374572493,0.5809340253983197,1.3136487506772734,-5.94264456972866e-06,0.8600942829442855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.515625
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b98'},0.7221137881278992,1240.0,167.0,28.0,28.0,0.0,2.0,1715902845.665755,1827.758609327989,228.53645696090186,6.177536739195231,211.78043978198383,0.6308554322303525,1.5129166994105492,-6.579725808439537e-06,1.1123085101657797,0.0,0.0,0.00028756473776645814,0.0,0.0,0.0,2.8946865691025166e-10,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458bb1'},0.7311756014823914,1243.0,170.0,29.0,29.0,0.0,2.0,1715902846.907975,1828.1344953505973,232.63571514317258,6.138841162034687,214.92696092040265,0.6037532041071885,1.7878344512175925,-7.335195321149047e-06,1.3285371737676064,0.0,0.0,0.0,356.4962093028769,0.0,0.0,0.0,123.13133415593074
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458bd1'},0.7662534713745117,1244.0,171.0,30.0,30.0,0.0,2.0,1715902847.480157,1828.5825165781575,235.12717505616172,6.101687443735793,216.7421442922201,0.5874459043215892,1.8615138046575042,-8.094148064824916e-06,1.3794957862317276,0.0,0.0,0.0,106.36759652034766,0.0,0.0,0.0,25.12716314030544
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458bec'},0.7427827715873718,1245.0,173.0,31.0,31.0,0.0,2.0,1715902848.041677,1828.7314758494833,237.97783340272906,6.0639139283927435,218.69652164963028,0.5418173280534385,1.9644434124824643,-8.900221184682264e-06,1.439317513148346,0.0,0.0,1.3493236215848407e-09,0.0,0.0,0.0,5.999996754561045e-10,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458c11'},0.7391412854194641,1248.0,177.0,33.0,33.0,0.0,2.0,1715902849.256642,1829.5406366441455,243.9468432508607,5.985634859770195,223.12929010761673,0.515265732953872,2.175827611603625,-1.0681615019143648e-05,1.6016249037502301,0.0,0.0,0.0,2872.023328011064,0.0,0.0,0.0,495.2109294324118
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458c14'},0.6725873947143555,1249.0,179.0,34.0,34.0,0.0,2.0,1715902849.876082,1830.0193963629133,247.0221102001547,5.9456369991250515,224.90663599000794,0.5114985566745914,2.268643730075109,-1.1646313335327709e-05,1.619758132405037,0.0,0.0,2.535020786124727e-09,0.0,0.0,0.0,7.999993177510946e-10,0.0
